cust_id,prod_id,product_name,category,purchase_amt,purchase_date
CUST248,PROD008,Sunscreen,Skin Care,65.99,2024-10-25 02:50:20
CUST353,PROD017,Body Scrub,Body Care,82.49,2024-10-24 12:47:11
CUST026,PROD012,Nail Remover,Nail Care,96.49,2024-08-28 10:32:37
CUST001,PROD003,Hair Oil,Hair Care,35.49,2024-11-05 04:46:36
CUST388,PROD038,Wet Wipes,Hygiene,56.49,2024-05-07 15:02:56
CUST415,PROD004,Hair Serum,Hair Care,85.49,2024-06-30 15:03:38
CUST108,PROD029,Aroma Candles,Aromatherapy,63.49,2024-09-20 14:23:09
CUST108,PROD033,Teeth Whitening Kit,Oral Care,60.49,2024-08-20 07:56:10
CUST597,PROD022,Eyelash Curler,Tools/Accessories,77.49,2024-01-12 05:37:10
CUST308,PROD026,Mascara,Makeup,70.99,2024-01-01 18:59:59
CUST330,PROD040,Perfume,Fragrance,31.99,2024-04-03 16:52:20
CUST539,PROD036,Aftershave,Shaving,43.49,2024-12-18 19:16:21
CUST041,PROD033,Teeth Whitening Kit,Oral Care,60.49,2024-10-06 15:55:02
CUST161,PROD040,Perfume,Fragrance,31.99,2024-12-02 21:44:41
CUST439,PROD004,Hair Serum,Hair Care,85.49,2024-01-21 12:19:58
CUST277,PROD043,Roll-on Deodorant,Fragrance,63.99,2024-01-20 23:21:46
CUST197,PROD016,Body Wash,Body Care,7.49,2024-03-11 12:14:25
CUST478,PROD014,Cuticle Oil,Nail Care,18.99,2024-05-08 11:01:50
CUST093,PROD028,Essential Oils,Aromatherapy,35.99,2024-04-17 03:53:59
CUST186,PROD007,Moisturizer,Skin Care,43.49,2024-07-04 19:19:02
CUST091,PROD030,Diffusers,Aromatherapy,82.49,2024-06-18 04:23:12
CUST225,PROD035,Shaving Cream,Shaving,46.49,2024-06-02 23:29:41
CUST539,PROD021,Straightener,Tools/Accessories,78.99,2024-11-10 15:00:54
CUST460,PROD014,Cuticle Oil,Nail Care,18.99,2024-01-03 12:43:13
CUST086,PROD042,Cologne,Fragrance,56.99,2024-03-27 18:01:46
CUST270,PROD004,Hair Serum,Hair Care,85.49,2024-07-04 10:15:48
CUST273,PROD024,Lipstick,Makeup,84.49,2024-10-13 01:49:26
CUST455,PROD009,Face Scrub,Skin Care,52.49,2024-09-21 08:49:09
CUST150,PROD024,Lipstick,Makeup,84.49,2024-07-20 05:38:53
